id;agent_id;acquired_at;expires_at
1;21209;2025-12-05T01:45:08;2025-12-04T19:22:46
2;26954;2025-12-04T21:39:05;2025-12-04T13:51:48
3;24643;2025-12-04T22:54:59;2025-12-04T12:10:41
4;23899;2025-12-05T01:59:13;2025-12-04T21:04:55
5;21562;2025-12-04T18:48:22;2025-12-04T07:42:09
6;17803;2025-12-04T18:05:25;2025-12-04T09:04:11
7;11343;2025-12-04T23:08:34;2025-12-04T18:53:45
8;42;2025-12-05T01:23:05;2025-12-04T16:55:15
9;15363;2025-12-05T01:35:31;2025-12-04T08:23:32
10;12697;2025-12-04T17:18:08;2025-12-04T23:48:47
