id;executed_at;success;response_time_ms;response_size_bytes;response_status_code;response_content_type;response_server;response_cache_status;dns_lookup_ms;dns_resolved_ip;tcp_connect_ms;tls_handshake_ms;ssl_certificate_valid;ssl_certificate_expiry;ssl_certificate_issuer;ssl_days_until_expiry;time_to_first_byte_ms;warning_threshold_ms;critical_threshold_ms;error_type;error_message;raw_request_headers;raw_response_headers;raw_response_body;dns_details;tls_details;http_version;content_encoding;compression_ratio;transfer_encoding;response_body_hash;response_body_sample;response_body_valid;response_body_uncompressed_bytes;redirect_details;cache_control;etag;cache_age;cdn_provider;cdn_pop;rate_limit_details;network_path;agent_metrics;phase_latencies
1;2025-12-04T08:27:39;false;1322;19557;30833;soggy;into once amidst;forenenst outside;31375;psst fundraising bashfully;9526;14803;false;2025-12-04T14:16:12;micromanage stuff;22369;27849;24891;7843;ouch;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rudely;anxiously;19970.11;yieldingly that;thoroughly;../fake-data/blob/hipster.txt;false;23515;../fake-data/blob/hipster.txt;phew openly;brightly sting mosh;12623;meh;bestride;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;2025-12-04T15:36:24;true;20091;25080;27210;up consequently regulate;ordinary;recede eminent eek;9972;because gown;3359;2073;false;2025-12-05T05:29:28;cinema essence nervous;20429;4416;387;25050;whole;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rarely gee;than huzzah;4104.55;unabashedly lest;superb;../fake-data/blob/hipster.txt;false;2681;../fake-data/blob/hipster.txt;psst our as;wisely;17259;vibrant above;galvanize ;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;2025-12-04T17:42:24;false;5056;14437;12534;often continually terribly;gratefully huzzah;worth general since;4303;decent yuck;23862;21115;false;2025-12-04T20:12:11;gee mythology;13828;18002;31093;3373;amongst profuse toe;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;shell;educated gripping;28197.56;anenst excepting aga;however;../fake-data/blob/hipster.txt;true;27711;../fake-data/blob/hipster.txt;till recent weep;hippodrome knavishly wetly;26966;notwithstanding pfft ravioli;concerning;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;2025-12-04T15:45:25;false;28738;23978;13273;gloomy;lest brr selfishly;gadzooks gosh;21268;anticodon instead;12465;8590;true;2025-12-04T07:47:40;language beard;26030;12949;24170;23767;softly toe gosh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;eek;vice;17690.4;salty ew woot;athwart trusty;../fake-data/blob/hipster.txt;false;30500;../fake-data/blob/hipster.txt;lest in sneaky;esteemed;13477;whoever phooey;ugh cantal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;2025-12-04T10:33:12;true;28221;15459;24660;publicize near;muffled;oof;21439;vice persecute;31875;7955;false;2025-12-04T13:30:46;because;19253;21037;18642;683;new edge skeleton;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;that moist;provided kindly;28792.36;blindly often;honesty officially;../fake-data/blob/hipster.txt;false;30753;../fake-data/blob/hipster.txt;as powerless creature;next sharply;24601;punctually pulp;despite fi;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;2025-12-04T21:57:08;false;3066;32404;17108;concerning;reassemble;heartbeat inquisitively through;12992;since outside zowie;29843;1585;false;2025-12-05T03:40:09;duh though;31696;26633;10411;14422;mid;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fair huzza;anti enormously;14625.53;separate oof physica;ajar gah;../fake-data/blob/hipster.txt;false;30294;../fake-data/blob/hipster.txt;birth;viciously harangue;14319;who puritan;crossly ar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;2025-12-04T18:10:28;false;21610;18153;5400;including;kick youthful;conjecture;19581;trained;8297;28620;false;2025-12-04T09:15:40;wombat yippee;25259;2484;6620;2366;yuck volunteer righteously;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;wry near i;whose;17318.98;pillory yowza;nor yet;../fake-data/blob/hipster.txt;true;27153;../fake-data/blob/hipster.txt;mid or loosely;which blah;6314;settle;cautiously;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;2025-12-04T13:58:07;false;21357;18533;21517;of yawningly;astride for;pish separately loftily;29890;discontinue often indeed;7711;11001;true;2025-12-04T15:08:43;punctuation failing;14549;7224;2906;841;mummify out fairly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;nor intent;needily yet;18317.27;brilliant lawmaker;unruly close unless;../fake-data/blob/hipster.txt;false;9140;../fake-data/blob/hipster.txt;on;emergent pfft intrepid;14969;sparse lace republican;abnegate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;2025-12-04T19:51:22;false;842;12291;20307;gratefully apropos;roughly gripping er;phooey outfox vastly;24881;mealy carefully when;1638;30108;true;2025-12-05T00:12:25;interesting brandish;9958;22829;19438;6272;pliers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;apropos po;diagram syringe;21691.38;than;for;../fake-data/blob/hipster.txt;false;11420;../fake-data/blob/hipster.txt;muscat supposing noteworthy;hopelessly;6983;please;worriedly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;2025-12-05T00:56:06;false;18580;19097;20951;through even staid;quixotic internalise;yearningly;23395;if putrid;18479;380;true;2025-12-04T18:02:06;honestly earth toe;7425;14255;28003;3852;rudely shell knight;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;eek phrase;camouflage out shoul;18840.25;chatter abnormally u;joyously;../fake-data/blob/hipster.txt;true;4428;../fake-data/blob/hipster.txt;nor;equal rough;21097;versus concerning;till yahoo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
