id;name;hostname;description;instance_type;monitoring_type;operating_system;platform;private_ip_address;public_ip_address;tags;ping_enabled;ping_interval;ping_timeout_ms;ping_retry_count;hardware_monitoring_enabled;hardware_monitoring_interval;cpu_warning_threshold;cpu_danger_threshold;memory_warning_threshold;memory_danger_threshold;disk_warning_threshold;disk_danger_threshold;created_at;updated_at;last_ping_at;last_hardware_check_at;datacenter_id
1;wherever;bidet ouch;outlaw harvest pillbox;wearily jellyfish;brook though;custody tensely ravage;but;who secrecy;tag yum impish;../fake-data/blob/hipster.txt;false;7818;24096;4979;true;23304;27630;27009;17051;12160;591;7027;2025-12-04T14:23:04;2025-12-04T08:29:44;2025-12-04T16:25:36;2025-12-04T12:18:09;1
2;gadzooks surprisingly;naturally;once needily astride;mmm;pave rue whose;pish behind along;hastily;blah;bah;../fake-data/blob/hipster.txt;true;20202;14944;24267;true;1621;435;25740;14011;22247;16210;32067;2025-12-04T12:01:46;2025-12-04T13:10:55;2025-12-05T00:06:06;2025-12-04T18:36:25;2
3;triumphantly or galoshes;who however nor;buttery;abscond bourgeoisie;beloved beyond dependable;bowling nightlife a;whose bin;indeed than;shout through;../fake-data/blob/hipster.txt;false;17273;10110;10639;false;22698;2941;12359;21296;31586;1162;22437;2025-12-05T04:29:25;2025-12-04T21:56:14;2025-12-04T07:24:02;2025-12-04T06:18:43;3
4;er only however;acclaimed versus;mysteriously;everlasting hm;even nifty;platypus;among atop manage;fen yippee;celebrate furiously dock;../fake-data/blob/hipster.txt;true;3700;7363;12970;true;22710;8672;14189;23592;29190;209;24707;2025-12-04T09:27:58;2025-12-04T19:43:50;2025-12-04T23:15:10;2025-12-04T07:39:00;4
5;aged;wafer carnival;entomb downshift;stealthily agreement;although between draft;however hm drab;weakly whether interestingly;impolite;instruction considering jury;../fake-data/blob/hipster.txt;true;11699;1372;3944;true;6048;14115;31669;28818;9010;23752;31918;2025-12-04T06:46:47;2025-12-04T15:34:37;2025-12-04T10:05:10;2025-12-04T13:40:34;5
6;neck remand wrong;hence enthusiastically;total capitalize;disgorge pish irritably;athwart;allocation as;disarm kiddingly guest;breakable including;usefully comestible;../fake-data/blob/hipster.txt;true;17657;30300;11311;true;22278;21086;30786;18356;12099;16335;32220;2025-12-04T06:22:50;2025-12-04T12:57:58;2025-12-04T07:30:50;2025-12-05T02:36:27;6
7;which;supposing partially;ha minister;venture apologise nor;chapel consequently;wedge reluctantly when;notwithstanding uncover;what;agreeable haunting shrill;../fake-data/blob/hipster.txt;false;16121;32107;30227;false;13282;30149;251;26024;18123;5856;30558;2025-12-04T21:27:00;2025-12-04T19:48:32;2025-12-04T09:19:09;2025-12-04T16:38:07;7
8;gee;vice till loyally;serene yum obediently;besides officially usable;aha;a;newsstand sans;fiercely;ride word anxiously;../fake-data/blob/hipster.txt;true;21927;14710;26896;false;15897;9426;10988;2240;991;26774;25030;2025-12-04T23:40:18;2025-12-04T10:26:38;2025-12-05T03:25:24;2025-12-04T22:30:40;8
9;where hopelessly geez;rigidly;fair;meanwhile beneath underachieve;furthermore advancement avaricious;why who;per;best-seller;fooey once though;../fake-data/blob/hipster.txt;false;7708;2639;18855;false;31065;10234;11654;19808;13904;7320;12376;2025-12-04T07:45:44;2025-12-04T09:06:10;2025-12-05T04:31:28;2025-12-04T19:33:02;9
10;wretched glimmer however;quickly unbearably;plagiarise;coaxingly;deflect atop;per;wrongly hastily snappy;redact ah;save;../fake-data/blob/hipster.txt;false;20073;19081;5781;true;24113;7658;30463;7680;17313;9005;10407;2025-12-04T20:00:35;2025-12-05T01:05:54;2025-12-04T14:44:41;2025-12-05T01:08:50;10
