id;executed_at;heartbeat_type;success;response_time_ms;packet_loss;jitter_ms;cpu_usage;memory_usage;disk_usage;load_average;process_count;network_rx_bytes;network_tx_bytes;uptime_seconds;status;error_message;error_type;metadata;instance_id
1;2025-12-04T16:00:28;psst;true;4130;19197.05;2782;7139.59;25875.35;23584.46;14157.53;23029;9465;19599;28394;aw ack frizzy;../fake-data/blob/hipster.txt;or fooey;../fake-data/blob/hipster.txt;1
2;2025-12-04T23:20:15;amount ew the;false;6715;6185.47;2629;26121.13;9272.16;26900.43;20517.8;9303;18499;28047;26510;now beside;../fake-data/blob/hipster.txt;boom round broadly;../fake-data/blob/hipster.txt;2
3;2025-12-05T05:03:12;psst boohoo;false;13090;9852.06;20796;10690.31;22862.93;13209.56;10621.57;3902;8909;6533;5158;bitter maintainer ho;../fake-data/blob/hipster.txt;oh forenenst;../fake-data/blob/hipster.txt;3
4;2025-12-04T23:36:48;boiling;true;26925;22442.45;30775;6500.84;5834.54;30957.11;27004.49;17091;19760;12007;21483;oh grimy;../fake-data/blob/hipster.txt;next because incidentally;../fake-data/blob/hipster.txt;4
5;2025-12-04T17:57:23;eek even between;false;21653;18490.18;5043;5021.09;13554.53;764.42;24.3;23445;5278;6353;2251;alongside however;../fake-data/blob/hipster.txt;meaningfully um;../fake-data/blob/hipster.txt;5
6;2025-12-05T02:31:58;indeed;false;21247;6091.95;21286;2992.47;5232.99;17847.34;8104.52;16572;7087;24054;2045;puzzled;../fake-data/blob/hipster.txt;inexperienced that vibration;../fake-data/blob/hipster.txt;6
7;2025-12-04T08:47:10;awkwardly openly for;false;18487;30807.01;23481;11485.47;6818.97;13964.78;17969.85;31426;1359;26091;4563;but;../fake-data/blob/hipster.txt;hubris creaking;../fake-data/blob/hipster.txt;7
8;2025-12-04T20:17:14;toward happily dappe;true;23202;199.12;23448;17861.79;16875.39;12779.79;17639.81;22881;24394;525;4689;grim censor though;../fake-data/blob/hipster.txt;pillory seal afore;../fake-data/blob/hipster.txt;8
9;2025-12-05T02:14:04;lampoon yuppify;true;31995;24227.28;24761;29077.14;11366.81;11621.27;8918.71;1412;14295;10954;1264;likewise;../fake-data/blob/hipster.txt;likewise regarding simple;../fake-data/blob/hipster.txt;9
10;2025-12-04T11:14:09;sonar indeed;true;1254;4117.9;11099;15558.84;2700.09;3122.32;9300.84;24434;30877;10750;23724;heavily shoulder sud;../fake-data/blob/hipster.txt;reach internalize;../fake-data/blob/hipster.txt;10
