id;name;description;service_type;environment;monitoring_enabled;cluster_monitoring_enabled;interval_seconds;timeout_ms;retry_count;latency_warning_ms;latency_critical_ms;advanced_config;is_active;created_at;updated_at
1;willow rule;yarmulke blissfully through;rust slake gladly;gracefully soliloquy;false;true;26672;13958;31964;23895;24377;../fake-data/blob/hipster.txt;true;2025-12-04T10:10:32;2025-12-04T08:40:12
2;mixed shred;er;calculating ribbon;among rim qua;true;false;16442;8082;29154;1623;21137;../fake-data/blob/hipster.txt;false;2025-12-04T10:42:17;2025-12-04T22:41:21
3;curl;drat neatly since;ick sheepishly;present failing;true;false;8231;19318;10967;10702;13698;../fake-data/blob/hipster.txt;true;2025-12-05T04:58:25;2025-12-04T06:00:46
4;until rationalise how;fen yahoo;rural kowtow;downshift frenetical;true;false;23455;9881;12379;14220;12125;../fake-data/blob/hipster.txt;false;2025-12-04T11:32:01;2025-12-05T05:09:32
5;exalt once ecliptic;if when plus;pessimistic;lest;false;true;30728;24759;3211;27080;31985;../fake-data/blob/hipster.txt;false;2025-12-04T06:09:16;2025-12-04T13:28:18
6;pinion doting or;abscond bid;querulous;negotiation;false;true;7262;23969;6562;15386;7369;../fake-data/blob/hipster.txt;false;2025-12-04T12:58:30;2025-12-04T07:15:20
7;although blah between;vibraphone;daddy scrap;loosely;false;true;29863;5907;31837;10394;12299;../fake-data/blob/hipster.txt;true;2025-12-04T10:25:25;2025-12-04T23:05:00
8;for enormously;newsstand hence;after before;obedience;false;false;31281;18149;21107;4952;7489;../fake-data/blob/hipster.txt;false;2025-12-04T14:14:42;2025-12-04T10:43:26
9;testing questionably;mousse because;scary;brr redraw gripper;false;false;21660;4228;2470;26504;3975;../fake-data/blob/hipster.txt;true;2025-12-04T08:05:31;2025-12-04T18:00:37
10;probe;naturally;round oxidise pharmacopoeia;furiously;false;false;19955;28562;29414;8078;299;../fake-data/blob/hipster.txt;false;2025-12-04T10:07:03;2025-12-04T14:11:26
