id;port;is_active;created_at;updated_at;instance_id;service_id
1;19878;false;2025-12-05T00:06:01;2025-12-04T15:30:46;1;1
2;9086;false;2025-12-04T23:17:27;2025-12-04T16:53:04;2;2
3;30808;true;2025-12-04T13:36:58;2025-12-04T11:59:13;3;3
4;31277;true;2025-12-05T04:56:43;2025-12-05T05:16:59;4;4
5;20654;false;2025-12-04T19:43:10;2025-12-04T15:00:18;5;5
6;11582;false;2025-12-04T20:55:01;2025-12-04T12:18:36;6;6
7;21062;true;2025-12-04T22:05:05;2025-12-04T16:25:24;7;7
8;22484;true;2025-12-04T12:05:35;2025-12-05T03:42:09;8;8
9;4511;false;2025-12-04T07:18:31;2025-12-04T08:18:28;9;9
10;70;false;2025-12-04T15:10:51;2025-12-04T19:43:46;10;10
