id;name;slug;description;is_public;custom_domain;logo_url;theme_color;header_text;footer_text;show_response_times;show_uptime_percentage;auto_refresh_seconds;monitor_selection;is_active;is_home_page;allowed_roles;created_at;updated_at
1;anti;nor per;procurement;true;reckless goat;pack till on;fly eas;suddenly ill-fated;successfully;true;false;24922;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;2025-12-04T12:46:13;2025-12-04T07:34:32
2;ah boohoo;offensively pro;where deduction;true;continually carelessly jovially;furthermore limply;ugh pli;mostly bus minus;brisk lest anenst;false;false;13691;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;2025-12-04T07:34:02;2025-12-04T06:36:35
3;eek boiling indeed;reluctantly yuck;live;true;hmph degenerate liquid;valiantly;while s;under an;if since whoever;true;true;22636;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;2025-12-05T00:45:10;2025-12-04T23:45:36
4;though rectangular coop;since release;drat;false;slipper planula rich;fooey incidentally;pish;tightly;phew;true;true;30462;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;2025-12-05T05:21:41;2025-12-04T14:13:23
5;form given;whereas readmit entrench;rationale vague;true;ouch;dilate red;jeopard;guzzle;not;false;false;17897;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;2025-12-04T18:05:02;2025-12-04T11:03:01
6;phew;mmm outfit;reiterate;false;whoever;whoever awkwardly consequently;beyond ;woot around likely;provided tragic;true;false;21060;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;2025-12-04T17:41:54;2025-12-04T11:09:00
7;while anti;lovingly following er;woot busily;true;railway thoughtfully courteous;before;whoa st;times;westernise gee;false;false;31372;../fake-data/blob/hipster.txt;false;true;../fake-data/blob/hipster.txt;2025-12-04T19:05:17;2025-12-04T23:45:03
8;weakly separately stall;times instead;finally woot;true;ick scholarship meh;all whether;phooey ;excluding colligate;if rarely alongside;true;false;1422;../fake-data/blob/hipster.txt;false;false;../fake-data/blob/hipster.txt;2025-12-04T14:55:34;2025-12-04T07:17:38
9;for;uh-huh;while geez;true;partridge pro wherever;although;canniba;broadly ouch exhaust;gosh unique wafer;true;true;17711;../fake-data/blob/hipster.txt;true;false;../fake-data/blob/hipster.txt;2025-12-04T12:58:28;2025-12-04T12:22:36
10;however declaration;zesty;for;false;following;wombat unexpectedly fooey;offensi;slump alliance;cheetah;true;false;8548;../fake-data/blob/hipster.txt;true;true;../fake-data/blob/hipster.txt;2025-12-04T23:05:05;2025-12-04T21:52:11
